customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling
CUST00041,Male,0,Yes,No,0,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),63.06,63.06,Yes,No internet service,Yes,No,No,No internet service,No,Yes,Yes
CUST00042,Male,0,Yes,Yes,54,No,Fiber optic,Month-to-month,Electronic check,39.36,2125.44,No,No internet service,Yes,No,No internet service,No,No,No internet service,No
CUST00043,Male,0,Yes,No,14,Yes,DSL,Month-to-month,Bank transfer (automatic),83.52,1169.28,No,No internet service,Yes,No internet service,No,No internet service,No,No,Yes
CUST00044,Female,0,Yes,No,14,Yes,Fiber optic,Two year,Electronic check,85.03,1190.42,No,Yes,No,No,No,Yes,No internet service,Yes,No
CUST00045,Male,0,Yes,No,22,Yes,Fiber optic,Month-to-month,Electronic check,91.27,2007.94,Yes,No internet service,No internet service,No,No,Yes,No internet service,No,Yes
CUST00046,Male,1,No,No,65,No,DSL,One year,Mailed check,80.73,5247.45,No,Yes,No,Yes,No internet service,Yes,No internet service,No,No
CUST00047,Male,0,No,Yes,45,Yes,DSL,Month-to-month,Mailed check,78.64,3538.8,Yes,Yes,No,No,No,No internet service,No,No internet service,Yes
CUST00048,Male,0,Yes,No,8,No,DSL,Month-to-month,Mailed check,32.69,261.52,Yes,No,Yes,Yes,No,No,No internet service,No internet service,No
CUST00049,Male,0,Yes,No,65,Yes,No internet service,Month-to-month,Bank transfer (automatic),31.43,2042.95,No,No internet service,Yes,Yes,No,Yes,Yes,No,No
CUST00050,Male,0,Yes,No,65,Yes,Fiber optic,Month-to-month,Electronic check,73.93,4805.45,No,No internet service,Yes,No,Yes,No internet service,Yes,No,No
CUST00051,Female,0,No,No,17,Yes,DSL,Two year,Electronic check,97.03,1649.51,No,Yes,Yes,Yes,No,Yes,No internet service,No,Yes
CUST00052,Male,0,Yes,No,16,Yes,Fiber optic,Two year,Electronic check,55.98,895.68,No,Yes,Yes,No internet service,No,No internet service,No,No,No
CUST00053,Female,0,No,No,71,Yes,Fiber optic,Two year,Bank transfer (automatic),64.17,4556.07,No,No,Yes,No internet service,No internet service,No,No internet service,Yes,No
CUST00054,Female,0,Yes,No,33,No,No internet service,Two year,Mailed check,64.48,2127.84,No,Yes,No,No internet service,Yes,Yes,No internet service,No internet service,Yes
CUST00055,Male,0,No,No,68,Yes,DSL,One year,Mailed check,18.25,1241.0,No,Yes,No,Yes,No,Yes,No,No internet service,No
CUST00056,Female,1,Yes,No,63,Yes,DSL,Two year,Bank transfer (automatic),71.21,4486.23,No,No internet service,No internet service,No internet service,No internet service,No,No internet service,No,No
CUST00057,Female,0,No,No,43,Yes,No internet service,Month-to-month,Mailed check,47.5,2042.5,Yes,No internet service,No,No internet service,Yes,Yes,No internet service,Yes,No
CUST00058,Female,0,No,No,28,No,DSL,Month-to-month,Mailed check,82.33,2305.24,Yes,Yes,Yes,Yes,No,No,Yes,No,No
CUST00059,Female,0,No,Yes,61,Yes,DSL,Month-to-month,Mailed check,63.06,3846.66,No,No,Yes,No,No,No,Yes,No internet service,Yes
CUST00060,Male,0,Yes,No,15,Yes,No internet service,Month-to-month,Bank transfer (automatic),58.62,879.3,No,No,No internet service,Yes,No,Yes,No internet service,Yes,No
CUST00061,Female,0,Yes,Yes,51,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),59.28,3023.28,No,No internet service,Yes,Yes,Yes,No internet service,No internet service,Yes,No
CUST00062,Male,0,No,Yes,1,Yes,DSL,Month-to-month,Electronic check,54.19,54.19,Yes,No,No internet service,No,Yes,No,No,No,Yes
CUST00063,Male,1,Yes,Yes,60,Yes,DSL,Two year,Electronic check,23.15,1389.0,No,Yes,No internet service,No internet service,No internet service,Yes,No internet service,No internet service,No
CUST00064,Female,0,No,No,3,No,DSL,Month-to-month,Electronic check,92.6,277.8,No,No internet service,Yes,No internet service,No,No,No internet service,Yes,Yes
CUST00065,Female,0,No,Yes,51,Yes,DSL,Month-to-month,Bank transfer (automatic),44.98,2293.98,No,No internet service,No,Yes,No,No internet service,Yes,Yes,No
CUST00066,Female,0,No,Yes,40,Yes,No internet service,Month-to-month,Credit card (automatic),49.97,1998.8,No,Yes,No,No internet service,Yes,No internet service,Yes,No internet service,Yes
CUST00067,Female,0,No,Yes,51,Yes,Fiber optic,Month-to-month,Mailed check,66.37,3384.87,No,No internet service,No,Yes,No,No,No internet service,Yes,Yes
CUST00068,Male,1,Yes,Yes,30,Yes,Fiber optic,Two year,Electronic check,30.53,915.9,No,No internet service,No internet service,Yes,No,No internet service,No internet service,Yes,No
CUST00069,Female,0,Yes,No,25,Yes,No internet service,Month-to-month,Bank transfer (automatic),49.03,1225.75,No,No,No,No internet service,Yes,No,Yes,No,Yes
CUST00070,Female,0,No,No,26,Yes,Fiber optic,Two year,Credit card (automatic),118.75,3087.5,No,No internet service,No internet service,Yes,No internet service,No internet service,No internet service,Yes,No
CUST00071,Male,0,No,No,50,Yes,DSL,Two year,Credit card (automatic),74.1,3705.0,No,No,No internet service,No internet service,No,Yes,Yes,Yes,No
CUST00072,Male,0,No,Yes,47,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),38.27,1798.69,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No
CUST00073,Male,0,Yes,No,10,Yes,No internet service,Month-to-month,Credit card (automatic),18.25,182.5,Yes,No internet service,Yes,Yes,No internet service,No internet service,Yes,No internet service,Yes
CUST00074,Male,0,No,No,7,No,No internet service,Two year,Electronic check,94.04,658.28,No,No internet service,No,No internet service,Yes,No,Yes,No internet service,No
CUST00075,Female,0,Yes,Yes,11,Yes,DSL,One year,Electronic check,33.64,370.04,No,Yes,Yes,No,Yes,Yes,No internet service,Yes,No
CUST00076,Female,0,No,No,44,Yes,Fiber optic,One year,Electronic check,47.71,2099.24,No,No internet service,No,Yes,Yes,Yes,No internet service,Yes,No
CUST00077,Male,0,Yes,Yes,33,Yes,Fiber optic,Two year,Bank transfer (automatic),51.51,1699.83,No,No internet service,No internet service,No,Yes,No internet service,No,No,No
CUST00078,Female,0,No,Yes,71,Yes,No internet service,Month-to-month,Electronic check,36.61,2599.31,Yes,No internet service,Yes,Yes,Yes,Yes,No internet service,No internet service,No
CUST00079,Male,0,No,No,46,Yes,DSL,Month-to-month,Mailed check,61.71,2838.66,No,No internet service,No,No internet service,No internet service,Yes,No internet service,No,Yes
CUST00080,Female,0,Yes,Yes,20,Yes,Fiber optic,Month-to-month,Mailed check,47.46,949.2,No,Yes,Yes,No,No internet service,No internet service,Yes,No internet service,Yes
CUST00081,Male,0,Yes,Yes,40,Yes,No internet service,Two year,Electronic check,82.33,3293.2,No,No internet service,Yes,No,No internet service,Yes,No,No internet service,Yes
CUST00082,Male,0,No,No,21,Yes,Fiber optic,One year,Credit card (automatic),68.22,1432.62,No,No internet service,No internet service,No,Yes,No internet service,No,No,Yes
CUST00083,Male,0,No,No,20,Yes,Fiber optic,Month-to-month,Electronic check,106.96,2139.2,No,No internet service,Yes,No internet service,Yes,Yes,No,No internet service,No
CUST00084,Female,0,No,No,27,Yes,DSL,Month-to-month,Mailed check,107.57,2904.39,Yes,No,No,Yes,No,Yes,No internet service,No internet service,Yes
CUST00085,Female,0,No,No,66,Yes,DSL,Month-to-month,Bank transfer (automatic),35.36,2333.76,No,Yes,Yes,No internet service,No,Yes,No internet service,No internet service,No
CUST00086,Female,0,No,Yes,70,Yes,DSL,Month-to-month,Electronic check,54.19,3793.3,No,No,No internet service,No,No internet service,No,Yes,Yes,No
CUST00087,Female,1,Yes,Yes,13,Yes,No internet service,One year,Bank transfer (automatic),118.75,1543.75,Yes,No internet service,No internet service,No,No internet service,No internet service,Yes,No internet service,No
CUST00088,Female,0,No,No,72,Yes,DSL,One year,Credit card (automatic),29.25,2106.0,No,No internet service,No internet service,No,Yes,Yes,No,Yes,No
CUST00089,Male,0,Yes,No,51,Yes,Fiber optic,Two year,Credit card (automatic),87.93,4484.43,No,Yes,No,No internet service,No,Yes,Yes,No internet service,No
CUST00090,Male,0,Yes,No,42,Yes,Fiber optic,Month-to-month,Credit card (automatic),80.44,3378.48,Yes,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,No
CUST00091,Male,0,Yes,No,70,Yes,DSL,Month-to-month,Electronic check,38.53,2697.1,Yes,No,No internet service,Yes,Yes,No internet service,No,Yes,No
CUST00092,Male,0,Yes,No,18,Yes,Fiber optic,One year,Bank transfer (automatic),39.98,719.64,No,No internet service,No,Yes,No,No internet service,Yes,No,No
CUST00093,Male,0,No,No,26,Yes,Fiber optic,Two year,Electronic check,118.75,3087.5,Yes,No,No,No internet service,No,Yes,No internet service,Yes,No
CUST00094,Male,0,No,No,17,Yes,No internet service,One year,Electronic check,118.75,2018.75,No,No,No,Yes,No,No internet service,No,Yes,Yes
CUST00095,Male,0,No,No,12,Yes,Fiber optic,Two year,Electronic check,76.9,922.8,No,No internet service,No,No internet service,No internet service,No,No,Yes,Yes
CUST00096,Male,1,Yes,No,0,Yes,Fiber optic,Month-to-month,Electronic check,22.41,22.41,No,No internet service,No,No internet service,No internet service,Yes,No internet service,Yes,No
CUST00097,Female,0,No,Yes,33,Yes,DSL,Month-to-month,Credit card (automatic),101.71,3356.43,No,No,Yes,No,No,Yes,Yes,No,No
CUST00098,Female,0,Yes,No,12,Yes,No internet service,Month-to-month,Mailed check,22.29,267.48,No,No internet service,No internet service,No internet service,Yes,No internet service,Yes,Yes,No
CUST00099,Female,0,No,No,50,Yes,DSL,Month-to-month,Mailed check,85.46,4273.0,No,Yes,No,No,No internet service,No internet service,No internet service,No,No
CUST00100,Female,0,No,No,0,Yes,Fiber optic,Month-to-month,Mailed check,18.25,18.25,Yes,No internet service,No internet service,Yes,Yes,No,No internet service,No internet service,No
CUST00101,Female,1,No,Yes,27,No,DSL,Month-to-month,Mailed check,64.23,1734.21,No,No,Yes,Yes,Yes,No,No internet service,Yes,Yes
CUST00102,Male,0,No,No,31,Yes,No internet service,One year,Credit card (automatic),90.55,2807.05,No,No,Yes,No,No,Yes,Yes,No internet service,Yes
CUST00103,Male,0,Yes,No,71,Yes,Fiber optic,Month-to-month,Electronic check,18.25,1295.75,No,No internet service,No,No,No,Yes,Yes,No internet service,No
CUST00104,Male,0,Yes,Yes,54,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),48.15,2600.1,No,Yes,No internet service,Yes,Yes,No internet service,No internet service,No,Yes
CUST00105,Male,1,No,No,25,Yes,DSL,Two year,Mailed check,68.6,1715.0,No,No internet service,No internet service,No internet service,Yes,No internet service,Yes,No internet service,Yes
CUST00106,Female,1,No,Yes,13,Yes,Fiber optic,Month-to-month,Electronic check,53.67,697.71,Yes,Yes,Yes,No,No,No,No internet service,Yes,Yes
CUST00107,Female,0,Yes,No,67,No,Fiber optic,Month-to-month,Mailed check,43.87,2939.29,Yes,Yes,Yes,No,No internet service,No,No,No,Yes
CUST00108,Female,0,Yes,No,62,Yes,Fiber optic,One year,Credit card (automatic),60.0,3720.0,Yes,Yes,Yes,No,No internet service,No,Yes,Yes,Yes
CUST00109,Female,0,Yes,No,13,Yes,DSL,Month-to-month,Electronic check,95.13,1236.69,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No
CUST00110,Male,0,Yes,Yes,26,Yes,No internet service,Month-to-month,Electronic check,105.07,2731.82,Yes,Yes,No,No internet service,No,No,Yes,No internet service,No
CUST00111,Male,0,Yes,No,40,Yes,No internet service,Month-to-month,Electronic check,85.15,3406.0,Yes,Yes,Yes,No,No,No internet service,Yes,Yes,Yes
CUST00112,Male,0,Yes,Yes,2,Yes,DSL,Month-to-month,Bank transfer (automatic),110.6,221.2,Yes,No,No internet service,Yes,No,No internet service,No internet service,No internet service,No
CUST00113,Male,1,No,No,58,Yes,No internet service,Two year,Bank transfer (automatic),47.96,2781.68,No,Yes,No,No internet service,No,No,No internet service,Yes,Yes
CUST00114,Male,0,Yes,Yes,22,Yes,Fiber optic,Two year,Mailed check,81.9,1801.8,Yes,Yes,No internet service,No,No,No internet service,No,No internet service,Yes
CUST00115,Male,0,Yes,Yes,17,No,Fiber optic,One year,Mailed check,33.43,568.31,No,No,Yes,No internet service,Yes,No internet service,Yes,Yes,Yes
CUST00116,Female,0,Yes,No,40,Yes,DSL,Two year,Credit card (automatic),118.75,4750.0,No,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,Yes
CUST00117,Male,1,No,No,7,Yes,Fiber optic,Two year,Bank transfer (automatic),67.0,469.0,Yes,No,Yes,No internet service,No,No,No internet service,No,Yes
CUST00118,Female,0,No,No,31,Yes,Fiber optic,Month-to-month,Credit card (automatic),88.12,2731.72,No,Yes,No,Yes,No,No internet service,No internet service,No,Yes
CUST00119,Male,1,No,No,40,Yes,Fiber optic,Two year,Credit card (automatic),18.25,730.0,No,No,No internet service,No internet service,No,No internet service,No internet service,No internet service,No
CUST00120,Female,0,No,No,44,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),87.44,3847.36,No,No internet service,Yes,No,Yes,No,No internet service,Yes,No
CUST00121,Female,0,Yes,No,8,Yes,Fiber optic,Two year,Mailed check,67.41,539.28,No,No,No internet service,No,Yes,No internet service,Yes,Yes,No
CUST00122,Female,0,Yes,Yes,47,Yes,Fiber optic,Two year,Credit card (automatic),77.92,3662.24,Yes,No internet service,No internet service,No,No internet service,No,No internet service,Yes,Yes
CUST00123,Female,0,Yes,No,23,Yes,DSL,Month-to-month,Credit card (automatic),64.41,1481.43,No,No,No internet service,Yes,Yes,No,No,Yes,Yes
CUST00124,Male,0,Yes,No,43,Yes,No internet service,Month-to-month,Electronic check,60.41,2597.63,No,No internet service,No,Yes,No internet service,No internet service,No,No internet service,No
CUST00125,Female,1,No,No,57,Yes,Fiber optic,Month-to-month,Electronic check,54.76,3121.32,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,No internet service,Yes
CUST00126,Male,0,No,No,65,Yes,DSL,Month-to-month,Credit card (automatic),61.31,3985.15,Yes,No,No internet service,No,No,Yes,No,No,No
CUST00127,Male,0,Yes,No,17,Yes,DSL,Two year,Electronic check,108.05,1836.85,Yes,Yes,No,No internet service,No,Yes,No internet service,No internet service,Yes
CUST00128,Female,0,No,No,28,No,Fiber optic,Two year,Credit card (automatic),52.98,1483.44,No,No internet service,Yes,Yes,No internet service,No internet service,No internet service,No,No
CUST00129,Female,0,No,No,1,Yes,No internet service,Month-to-month,Mailed check,118.75,118.75,No,No,No internet service,No,No,No,No internet service,No internet service,No
CUST00130,Male,0,Yes,No,67,Yes,Fiber optic,Month-to-month,Electronic check,65.84,4411.28,No,No internet service,No,No internet service,No internet service,No,Yes,No internet service,No
CUST00131,Male,0,No,No,38,Yes,Fiber optic,Month-to-month,Electronic check,106.0,4028.0,No,No,Yes,No internet service,No,Yes,No,No internet service,No
CUST00132,Male,0,Yes,No,72,Yes,DSL,Month-to-month,Electronic check,98.32,7079.04,No,No internet service,No,No internet service,Yes,No,Yes,No,Yes
CUST00133,Female,0,No,No,40,Yes,Fiber optic,Month-to-month,Electronic check,18.25,730.0,No,No,No,No internet service,No,Yes,Yes,No,Yes
CUST00134,Male,0,Yes,No,70,No,No internet service,Month-to-month,Mailed check,23.44,1640.8,Yes,Yes,No,Yes,No internet service,No,Yes,No internet service,No
CUST00135,Female,1,Yes,No,21,Yes,Fiber optic,Two year,Bank transfer (automatic),43.65,916.65,No,No internet service,Yes,Yes,No internet service,No internet service,No,No internet service,No
CUST00136,Female,0,Yes,No,48,Yes,DSL,Month-to-month,Credit card (automatic),18.25,876.0,No,Yes,Yes,No internet service,Yes,No,Yes,Yes,No
CUST00137,Female,0,Yes,Yes,27,Yes,Fiber optic,Month-to-month,Mailed check,51.61,1393.47,Yes,No,No internet service,Yes,No internet service,No,Yes,No,No
CUST00138,Female,1,Yes,No,15,Yes,DSL,One year,Mailed check,64.84,972.6,No,Yes,No internet service,No,Yes,No,Yes,No,Yes
CUST00139,Female,1,No,No,67,Yes,Fiber optic,Month-to-month,Mailed check,83.46,5591.82,Yes,Yes,No internet service,No,Yes,Yes,No internet service,No internet service,Yes
CUST00140,Female,0,Yes,No,61,Yes,No internet service,Two year,Mailed check,69.42,4234.62,No,No,No internet service,No internet service,Yes,Yes,Yes,No,Yes
CUST00141,Male,0,Yes,No,35,Yes,Fiber optic,Two year,Mailed check,64.16,2245.6,No,No,No internet service,No,Yes,No,No,No internet service,No
CUST00142,Male,0,No,No,21,Yes,DSL,Month-to-month,Electronic check,94.71,1988.91,No,Yes,Yes,No,No internet service,No internet service,No internet service,Yes,No
CUST00143,Male,0,No,No,10,Yes,No internet service,Month-to-month,Electronic check,90.7,907.0,Yes,No,No,No internet service,Yes,No internet service,No,No internet service,No
CUST00144,Female,0,No,Yes,41,Yes,Fiber optic,Month-to-month,Electronic check,118.75,4868.75,No,No,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,No
CUST00145,Male,0,No,No,54,Yes,Fiber optic,Month-to-month,Electronic check,69.6,3758.4,Yes,No,No,No internet service,Yes,Yes,No,Yes,No
CUST00146,Female,0,Yes,No,72,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),18.25,1314.0,No,Yes,No,No internet service,No,No internet service,Yes,No internet service,No
CUST00147,Male,0,Yes,No,34,Yes,Fiber optic,One year,Electronic check,76.82,2611.88,No,No internet service,No internet service,Yes,No internet service,Yes,No internet service,No,No
CUST00148,Male,1,No,Yes,56,Yes,Fiber optic,Month-to-month,Credit card (automatic),118.75,6650.0,No,Yes,No,Yes,Yes,No,No internet service,No internet service,Yes
CUST00149,Male,0,No,No,33,Yes,Fiber optic,Month-to-month,Credit card (automatic),94.78,3127.74,No,No internet service,No,Yes,No,Yes,No internet service,No,No
CUST00150,Male,0,No,Yes,72,Yes,Fiber optic,Month-to-month,Credit card (automatic),101.66,7319.52,No,No internet service,No,No,Yes,No internet service,No internet service,Yes,No
CUST00151,Female,0,Yes,No,69,Yes,DSL,Two year,Credit card (automatic),66.84,4611.96,No,No internet service,No,Yes,Yes,No,No,No,Yes
CUST00152,Male,1,Yes,Yes,3,Yes,No internet service,Month-to-month,Electronic check,91.39,274.17,Yes,No internet service,No,No,No,No,No internet service,No internet service,Yes
CUST00153,Female,1,No,Yes,45,No,Fiber optic,Month-to-month,Mailed check,103.24,4645.8,Yes,Yes,No,Yes,No,No,Yes,Yes,No
CUST00154,Female,0,No,No,10,Yes,DSL,Month-to-month,Electronic check,53.97,539.7,Yes,Yes,No,No internet service,Yes,No,Yes,Yes,Yes
CUST00155,Female,0,Yes,Yes,60,Yes,Fiber optic,Two year,Credit card (automatic),48.98,2938.8,No,Yes,No,Yes,No,No internet service,No,No,No
CUST00156,Female,0,Yes,No,34,Yes,No internet service,Month-to-month,Credit card (automatic),77.64,2639.76,No,No internet service,No,No internet service,Yes,No,No,No,Yes
CUST00157,Male,0,No,Yes,68,Yes,No internet service,One year,Credit card (automatic),93.08,6329.44,No,Yes,No,No internet service,No internet service,Yes,No internet service,No,No
CUST00158,Male,0,Yes,No,56,Yes,Fiber optic,Two year,Mailed check,18.25,1022.0,No,Yes,Yes,Yes,Yes,No,No internet service,Yes,Yes
CUST00159,Female,0,No,Yes,10,Yes,DSL,Month-to-month,Bank transfer (automatic),58.16,581.6,Yes,No internet service,Yes,No,No internet service,Yes,Yes,No,Yes
CUST00160,Male,0,No,No,11,Yes,Fiber optic,One year,Electronic check,18.25,200.75,No,No internet service,Yes,No,No,No,Yes,No internet service,Yes
CUST00161,Male,0,No,No,42,Yes,DSL,Month-to-month,Electronic check,60.32,2533.44,Yes,No,No,No,No,No internet service,No,Yes,No
CUST00162,Female,0,Yes,Yes,18,No,No internet service,One year,Bank transfer (automatic),114.69,2064.42,Yes,No,No internet service,No internet service,Yes,No,No,No internet service,No
CUST00163,Female,0,Yes,Yes,67,Yes,DSL,One year,Mailed check,45.28,3033.76,No,Yes,No internet service,No,No,Yes,No internet service,No,Yes
CUST00164,Male,0,Yes,No,58,Yes,DSL,Month-to-month,Credit card (automatic),55.42,3214.36,No,Yes,Yes,No internet service,Yes,No internet service,Yes,No,No
CUST00165,Male,1,No,No,1,Yes,Fiber optic,Month-to-month,Electronic check,83.86,83.86,Yes,Yes,No,Yes,Yes,No internet service,No,No,Yes
CUST00166,Male,0,No,No,7,Yes,Fiber optic,Two year,Credit card (automatic),93.81,656.67,No,Yes,No internet service,No,Yes,No internet service,No internet service,No,No
CUST00167,Male,0,No,No,21,No,No internet service,Month-to-month,Mailed check,92.68,1946.28,Yes,No internet service,No internet service,Yes,No internet service,No internet service,No,Yes,Yes
CUST00168,Female,0,No,No,20,Yes,Fiber optic,Month-to-month,Credit card (automatic),65.12,1302.4,Yes,No internet service,No,Yes,No internet service,No internet service,No internet service,No internet service,No
